"RETAILER","VOLUME","DISP","PRICE"
"LOS ANGELES - LUCKY",21374,0.162,2.57846
"LOS ANGELES - RALPHS",6427,0.124112567,3.727867
"LOS ANGELES - VONS",17302,0.102,2.711421
"CHICAGO - DOMINICK",13561,0.027591093,2.651206
"CHICAGO - JEWEL",42774,0.090612732,1.986674
"CHICAGO - OMNI",4498,0,2.386616
"HOUSTON - KROGER CO",6834,0.04901897,2.481124
"HOUSTON - RANDALLS",3764,0,3.428268
"PITTSBURGH - GIANT EAGLE",5112,0.3085,2.538341
"DETROIT - FARMER JACKS",6676,0.137711793,2.562163
"DETROIT - KROGER CO",5505,0,2.747321
"CLEVELAND - STOP N SHOP",5884,0.021957105,2.653127
"ST. LOUIS - NATIONAL SUPER",2588,0.152,3.58694
"ST. LOUIS - SCHNUCK MARKETS",4890,0.152,3.297955
"DALLAS/FT. WORTH - ALBERTSONS",3097,0.006361034,3.453665
"DALLAS/FT. WORTH - KROGER CO",3201,0,2.920025
"DALLAS/FT. WORTH - TOM THUMB",5986,0.169,2.666388
"BOSTON - SHAWS",2786,0,2.386935
"BOSTON - STAR MARKET",622,0,3.120579
"BOSTON - STOP & SHOP",2021,0,2.559624
"SAN FRANCISCO - LUCKY",6041,0.039,3.716438
"TAMPA/ST. PETE - KASH N KARRY",3599,0,2.910253
"TAMPA/ST. PETE - PUBLIX",4271,0.023428058,3.03395
"TAMPA/ST. PETE - WINN DIXIE",3656,0,2.796772
"DENVER - KING SOOPERS INC",7219,0.1465,2.837374
"PHILADELPHIA - ACME MARKET",2897,0.071,3.694512
"ATLANTA - KROGER CO",4099,0.02360975,2.893145
"ATLANTA - WINN DIXIE",2751,0.186,2.639767
"CINCINNATI - KROGER CO",5568,0,2.686961
"INDIANAPOLIS - KROGER CO",4134,0.025129853,2.665941
"OKLAHOMA CITY - HOMELAND",1904,0.10369863,2.940651
"SACRAMENTO - RALEYS",1538,0.087,3.719766
"SAN DIEGO - LUCKY",7362,0.1705,2.71122
"SAN DIEGO - RALPHS",1707,0.121314222,3.809022
"SALT LAKE CITY - SMITHS FOOD",901,0.066,2.653718
"PHOENIX - SAFEWAY",1254,0,3.318979
"PHOENIX - FRY'S FOOD STORE",7243,0,2.653182
"PHOENIX - SMITHS FOOD",2139,0,2.653576
"MIAMI - PUBLIX",9523,0.017158537,2.728657
"MIAMI - WINN DIXIE",8619,0.05821116,2.512356
"NASHVILLE - KROGER CO",2669,0.18,2.882728
"RALEIGH/GREENSBORO - WINN DIXIE",2977,0,2.505207
"RALEIGH/GREENSBORO - FOOD LION",5030,0.023465481,2.652684
"ALBANY,NY - PRICE CHOPPER",778,0,3.052699
"BALTI/WASH - GIANT FOOD INC",4142,0,3.777885
"BALTI/WASH - SAFEWAY",4512,0,3.320479
"BALTI/WASH - SUPER FRESH",1069,0,3.53695
"MILWAUKEE - KOHLS FOOD STORE",1598,0,3.06821
"NEW ORLEANS - WINN DIXIE",5785,0,2.407087
"BUFFALO/ROCHESTER - TOPS MARKETS",2084,0,3.235605
"BUFFALO/ROCHESTER - WEGMANS",2223,0.202666667,3.249663
"CHARLOTTE - BI LO",1618,0,2.333127
"CHARLOTTE - HARRIS TEETER",1618,0,2.721261
"CHARLOTTE - WINN DIXIE",2901,0,2.333678
"CHARLOTTE - FOOD LION",4582,0.060998516,2.702313
"HARTFORD - STOP & SHOP",1143,0,3.35958
"JACKSONVILLE,FL - PUBLIX",1369,0,2.993426
"JACKSONVILLE,FL - WINN DIXIE",2254,0.017697871,2.695652
"JACKSONVILLE,FL - FOOD LION",1322,0.028716783,2.702723
"LOUISVILLE - KROGER CO",2403,0.08442872,2.696629
"LOUISVILLE - WINN DIXIE",2123,0.666,2.599623
"RICHMOND/NORFOLK - FOOD LION",5874,0,2.842356
"RICHMOND/NORFOLK - NEW FARM FRESH",2588,0,2.547913
"COLUMBUS,OH - BIG BEAR",1287,0,3.338772
"COLUMBUS,OH - KROGER CO",3352,0.029534954,2.653341
"LITTLE ROCK - HARVEST FOODS",1879,0.017650285,2.901543
"WICHITA - DILLON COMPANIES",1375,0,3.052364
"SOUTH CAROLINA - BI LO",6628,0.104,2.333434
"SOUTH CAROLINA - FOOD LION",3328,0,2.6253
"SOUTH CAROLINA - WINN DIXIE",3930,0,2.386514
"ORLANDO,FL - PUBLIX",3890,0,2.997429
"ORLANDO,FL - WINN DIXIE",3488,0,2.40195
"ORLANDO,FL - FOOD LION",1307,0,2.557766
"SYRACUSE - P & C FOOD MARKE",1350,0,2.653333
"SYRACUSE - PRICE CHOPPER",678,0.076,2.870206
"SYRACUSE - WEGMANS",707,0.179,3.451202
"NEW ENGLAND (NORTH) - SHOP N SAVE",3478,0,2.387004
"SAN ANT/CORPUS CHR - H E BUTT",13904,0.108,3.186565
"BIRMINGHAM/MONTGOM - BRUNOS",12950,0.03648804,2.13583
"BIRMINGHAM/MONTGOM - KROGER",1613,0.152,2.654061
"BIRMINGHAM/MONTGOM - WINN DIXIE",4061,0.05838907,2.56981
"HARRISBURG/SCRANTN - GIANT FOOD STO",1766,0.15,2.560023
"NEW YORK (NEW) - A & P",8636,0,2.699745
"NEW YORK (NEW) - PATHMARK",3243,0,4.386679
"NEW YORK (NEW) - WALDBAUMS",790,0,4.478481
"ROANOKE (NEW) - FOOD LION",3187,0,2.775024
"ROANOKE (NEW) - KROGER CO",4011,0,2.722513
"LOS ANGELES - LUCKY",18170,0.202,2.585746
"LOS ANGELES - RALPHS",5025,0.079081566,3.719602
"LOS ANGELES - VONS",9495,0.14,2.769774
"CHICAGO - DOMINICK",5937,0.004140677,2.652181
"CHICAGO - JEWEL",47658,0.090558386,1.986676
"CHICAGO - OMNI",2737,0,2.38692
"HOUSTON - KROGER CO",6847,0.031,2.461662
"HOUSTON - RANDALLS",4222,0,2.817859
"PITTSBURGH - GIANT EAGLE",5697,0.254,2.520098
"DETROIT - FARMER JACKS",5647,0.100920414,3.12697
"DETROIT - KROGER CO",4010,0,2.746633
"CLEVELAND - STOP N SHOP",5551,0.00633793,2.73194
"ST. LOUIS - NATIONAL SUPER",2349,0.264,3.586633
"ST. LOUIS - SCHNUCK MARKETS",5471,0.152,3.30159
"DALLAS/FT. WORTH - ALBERTSONS",2974,0,3.453598
"DALLAS/FT. WORTH - KROGER CO",3230,0,2.919505
"DALLAS/FT. WORTH - TOM THUMB",3880,0,2.666495
"BOSTON - SHAWS",2368,0,2.386402
"BOSTON - STAR MARKET",539,0,3.111317
